campaign_id,check_id,protocol_version,screen_or_route,category,procedure_reference,expected_result_reference,observed_result,result_status,evidence_reference,notes
CLH-ACC-001,A-01,1.0,Login,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-01,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-01,,,,
CLH-ACC-001,A-02,1.0,Registration,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-02,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-02,,,,
CLH-ACC-001,A-03,1.0,Authenticated shell,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-03,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-03,,,,
CLH-ACC-001,A-04,1.0,Resume Studio,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-04,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-04,,,,
CLH-ACC-001,A-05,1.0,Interview Coach,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-05,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-05,,,,
CLH-ACC-001,A-06,1.0,Learning Workspace,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-06,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-06,,,,
CLH-ACC-001,A-07,1.0,Settings/Gemini,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-07,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-07,,,,
CLH-ACC-001,A-08,1.0,Representative critical dialog,dialog_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-08,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-08,,,,
CLH-ACC-001,A-09,1.0,Representative critical dialog,dialog_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-09,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-09,,,,
CLH-ACC-001,A-10,1.0,Representative critical dialog,dialog_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-10,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-10,,,,
CLH-ACC-001,A-11,1.0,Login,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-11,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-11,,,,
CLH-ACC-001,A-12,1.0,Resume Studio,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-12,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-12,,,,
CLH-ACC-001,A-13,1.0,Interview Coach,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-13,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-13,,,,
CLH-ACC-001,A-14,1.0,Grounded Chat,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-14,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-14,,,,
CLH-ACC-001,A-15,1.0,Settings/Gemini,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-15,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-15,,,,
CLH-ACC-001,A-16,1.0,Resume or Learning AI operation,status_feedback,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-16,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-16,,,,
CLH-ACC-001,A-17,1.0,Representative validation state,status_feedback,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-17,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-17,,,,
CLH-ACC-001,A-18,1.0,Resume or Interview save,status_feedback,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-18,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-18,,,,
CLH-ACC-001,A-19,1.0,Authentication,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-19,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-19,,,,
CLH-ACC-001,A-20,1.0,Application shell,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-20,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-20,,,,
CLH-ACC-001,A-21,1.0,Resume Studio,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-21,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-21,,,,
CLH-ACC-001,A-22,1.0,Interview Coach,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-22,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-22,,,,
CLH-ACC-001,A-23,1.0,Learning Workspace,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-23,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-23,,,,
CLH-ACC-001,A-24,1.0,Settings/Gemini,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-24,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-24,,,,
CLH-ACC-001,A-25,1.0,Authenticated navigation,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-25,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-25,,,,
CLH-ACC-001,A-26,1.0,Resume Studio,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-26,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-26,,,,
CLH-ACC-001,A-27,1.0,Interview Coach,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-27,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-27,,,,
CLH-ACC-001,A-28,1.0,Learning Workspace,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-28,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-28,,,,
CLH-ACC-001,A-29,1.0,Settings/Gemini,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-29,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-29,,,,
